anger,contempt,disgust,fear,happiness,neutral,sadness,surprise
0.000762872,0.0158081,0.000625089,3.1004e-05,0.483505,0.496478,0.00147728,0.00131353
0.000427312,0.0164888,0.000393405,2.37749e-05,0.6171,0.362491,0.00145639,0.00161959
0.000159424,0.014036,0.000174102,8.77124e-06,0.65404,0.32941,0.000615792,0.00155584
0.000155987,0.0133966,0.000184359,1.84241e-05,0.588276,0.394518,0.00115295,0.00229775
0.000222505,0.00979178,0.000198141,1.40517e-05,0.564225,0.420663,0.000482971,0.00440271
0.000454122,0.00983229,0.000347005,2.40583e-05,0.511159,0.472153,0.000866815,0.00516382
0.000302745,0.00981171,0.000254289,2.56799e-05,0.597646,0.385529,0.0007479,0.00568329
0.000139433,0.00656496,0.000192775,4.80491e-05,0.732991,0.2534,0.00081173,0.00585201
0.000243229,0.0133638,0.000275884,3.62363e-05,0.631226,0.347956,0.00115518,0.00574422
0.000139448,0.0117345,0.000155217,2.51723e-05,0.621479,0.360774,0.000865044,0.00482726
0.000417321,0.0109403,0.000359836,7.31333e-05,0.522472,0.454011,0.00183089,0.00989545
0.00064785,0.0121015,0.000515067,0.000268031,0.603542,0.357506,0.00214696,0.0232724
0.000163539,0.00552691,0.000168023,5.99709e-05,0.764741,0.216957,0.00064024,0.0117436
0.00100376,0.0131057,0.000753305,0.000208854,0.593548,0.367717,0.00191485,0.0217487
0.000335951,0.0179277,0.000329317,0.000108851,0.507377,0.468761,0.00254972,0.00261048
0.000792597,0.0126594,0.000716928,0.00011629,0.64251,0.33058,0.0023534,0.0102715
0.000453878,0.00829124,0.000394081,8.67019e-05,0.693769,0.288247,0.00436502,0.0043928
0.00164145,0.0136421,0.00131873,0.000146187,0.463021,0.50942,0.00476128,0.00604947
0.00594647,0.00630081,0.00291084,0.000712295,0.3368,0.617653,0.0158661,0.0138113
0.00519576,0.0114101,0.00290377,0.000588958,0.346005,0.601723,0.0185968,0.0135765
0.00366799,0.0043391,0.00212533,0.000351367,0.361054,0.603498,0.0160472,0.00891737
0.00312747,0.00418257,0.0015152,0.00063642,0.224893,0.73736,0.0157912,0.0124936
0.00266016,0.00424755,0.00126427,0.00080751,0.436301,0.52625,0.0184756,0.00999364
0.00290025,0.00761301,0.00194424,0.000290511,0.618374,0.356505,0.00690063,0.00547238
0.00174749,0.00679153,0.00239894,0.000168881,0.731178,0.244529,0.0119394,0.0012465
0.00186115,0.00840476,0.00215146,0.000186464,0.684413,0.293243,0.00779891,0.00194061
0.00258017,0.005128,0.00187194,0.000260443,0.131814,0.84068,0.0140191,0.00364663
0.00372397,0.026461,0.00473917,0.00105402,0.37327,0.558596,0.0273893,0.00476658
0.00244454,0.0129535,0.0022668,0.000145128,0.202107,0.772429,0.00491204,0.00274213
0.00348172,0.0101029,0.00354731,0.000248964,0.282684,0.687254,0.0102233,0.00245854
0.00313717,0.00630821,0.00284001,0.000219659,0.47012,0.508423,0.00503435,0.00391745
0.00372704,0.010335,0.00383962,8.93237e-05,0.491447,0.485299,0.00340619,0.0018561
0.00435556,0.00884362,0.0045158,0.00054262,0.393669,0.572152,0.0118156,0.00410676
0.00415623,0.00668358,0.00447742,0.000237125,0.343822,0.623927,0.0136445,0.0030526
0.00327109,0.00441058,0.00352854,3.19948e-05,0.254825,0.728648,0.00371386,0.00157156
0.00324129,0.00226822,0.00373238,3.62748e-05,0.1827,0.797879,0.00860361,0.00153882
0.0136773,0.00495536,0.0196128,3.02496e-05,0.0507335,0.902202,0.00478542,0.00400351
0.000963804,0.0025633,0.00154772,9.49962e-05,0.484102,0.494999,0.0138173,0.00191213
0.00083801,0.00246689,0.00141975,8.21423e-05,0.498785,0.480506,0.0139637,0.00193836
0.000756552,0.00211397,0.00129272,7.45526e-05,0.562878,0.415446,0.0162322,0.00120622
0.000981109,0.00474348,0.00164501,4.26657e-05,0.412438,0.570886,0.00833123,0.000932747
0.00173684,0.00397672,0.00184093,9.93684e-05,0.388036,0.584949,0.0178623,0.00149852
0.00278573,0.0034145,0.00354716,0.000362763,0.197412,0.750649,0.0392585,0.00257005
0.00212211,0.00287339,0.00225071,0.000325869,0.170862,0.786703,0.0325739,0.00228929
0.0029912,0.00612305,0.002898,0.000336546,0.236801,0.725546,0.0228799,0.00242408
0.00380302,0.00596045,0.00303646,0.000313742,0.222646,0.737293,0.0246184,0.00232908
0.00525289,0.00980685,0.00357135,0.000259986,0.145391,0.810775,0.0231746,0.00176858
0.00273909,0.00490854,0.00195714,0.000200737,0.196148,0.781308,0.0109828,0.00175608
0.00170987,0.00376503,0.0015014,0.000146102,0.214582,0.765072,0.0121051,0.0011187
0.00128623,0.00322457,0.00124145,0.000104233,0.278884,0.704526,0.00960734,0.00112674
0.00173876,0.00273236,0.00216963,0.000309784,0.312444,0.658491,0.0196335,0.00248159
0.00332053,0.0037727,0.00284558,0.000634744,0.0489431,0.901646,0.0352247,0.00361241
0.00653549,0.00555101,0.0087378,0.00199151,0.230855,0.692427,0.0434794,0.0104219
0.00264266,0.00769998,0.00356442,0.00157505,0.307681,0.636668,0.0317132,0.00845583
0.00414934,0.00434184,0.00236031,0.0042328,0.416909,0.509181,0.0501222,0.00870269
0.00543673,0.00687326,0.00265672,0.00163274,0.224303,0.729355,0.0219006,0.00784217
0.00853224,0.00563751,0.00385511,0.00557526,0.29288,0.644331,0.0247384,0.0144508
0.013217,0.00438415,0.0055418,0.00214381,0.0926697,0.827511,0.0489468,0.00558553
0.00578097,0.00503799,0.00300353,0.00174308,0.557986,0.407795,0.00969634,0.00895683
0.00248278,0.00567504,0.00154448,0.000561113,0.511669,0.466708,0.00811152,0.00324761
0.0031605,0.00615116,0.0019531,0.00109862,0.400542,0.568462,0.0133547,0.00527711
0.00504091,0.00704899,0.00343155,0.000955478,0.228408,0.729965,0.0209042,0.00424643
0.00646677,0.00478954,0.00249363,0.0023112,0.168276,0.786226,0.0197071,0.00972936
0.009648,0.00337657,0.00190954,0.00172798,0.0287635,0.92009,0.0277852,0.00669944
0.00476575,0.00358713,0.00423723,0.000490857,0.0759202,0.888313,0.0181979,0.0044884
0.00541711,0.00925875,0.00749188,5.72085e-05,0.113933,0.850362,0.0121901,0.00129001
0.00384731,0.00573735,0.00311852,4.40448e-05,0.0919484,0.889016,0.00545576,0.000833014
0.0032312,0.00477515,0.00245793,3.72081e-05,0.0994544,0.887147,0.00175401,0.00114263
0.0061954,0.00653262,0.00486495,0.000272259,0.120785,0.849855,0.00876247,0.00273233
0.00694263,0.00556056,0.002887,0.000425797,0.041985,0.918902,0.0214876,0.00180901
